id,title,description,release_year,age_certification,runtime,genres,production_country,seasons
1,"out eaves yard","Numquam magni ut doloribus veniam molestias nostrum.",2012,"6",106,"Sci-Fi","MZ",1
2,"adopt worth unibody","Molestias eius iste nihil nesciunt distinctio.",2010,"A",178,"Action|Horror","YT",6
3,"gosh far ick","Consectetur quam animi nihil maxime.",2008,"R18+",160,"Drama|Horror|Drama","BH",9
4,"for than sometimes","Exercitationem ipsam architecto repudiandae veritatis.",2002,"PG",174,"Comedy|Comedy","AT",7
5,"dehumanise energetically what","Quo illo aspernatur laborum facere ratione similique veritatis minima dolorum.",2005,"GP",139,"Drama|Drama|Drama","DZ",5
6,"if worthwhile kneecap","Perferendis beatae eum ea inventore nemo eius.",2007,"C",108,"Drama|Comedy","GB",6
7,"whether but smoothly","Voluptatum necessitatibus architecto praesentium rerum placeat rem similique voluptate.",2006,"15",65,"Comedy","EH",8
8,"coolly reporting pickle","Repellat ipsam eligendi fugiat pariatur.",2013,"E",136,"Comedy|Sci-Fi","TJ",9
9,"sorrowful lost vigorous","Delectus perferendis molestias vero.",2002,"TV-PG",157,"Action|Sci-Fi","BD",10
10,"stigmatize consideration opening","Tempora sunt ad aperiam molestiae.",2020,"M",127,"Sci-Fi|Sci-Fi|Comedy","AS",6
11,"on with this","Tempore officiis iste repellendus debitis explicabo sapiente.",2021,"R21",80,"Horror","PF",3
12,"whoever warmly immediately","Debitis officiis cupiditate labore pariatur reiciendis corporis fugiat perspiciatis.",1996,"X18",104,"Comedy|Drama|Comedy","IQ",4
13,"whoa inasmuch reboot","Earum nam harum.",2023,"18R",86,"Horror|Sci-Fi","DK",10
14,"besides considering sandwich","Rerum praesentium amet excepturi libero ducimus dicta.",2007,"TV-Y",69,"Horror|Sci-Fi|Sci-Fi","BB",1
15,"unrealistic heir buckle","Soluta sint praesentium voluptate odio recusandae ratione itaque pariatur aut.",1994,"PG",68,"Sci-Fi","TV",9
16,"minor hatchling positive","Earum maxime accusantium odit alias laboriosam necessitatibus optio aut culpa.",2017,"R16",62,"Drama|Horror|Horror","AO",4
17,"denude compulsion chronometer","Sit expedita accusantium dolores maxime iure.",2004,"15",143,"Action","CX",4
18,"mend curiously coordinated","Adipisci earum atque non id sapiente aut.",2010,"R21",79,"Drama|Horror|Action","TW",2
19,"plunder hall zealous","Iure distinctio facilis maxime voluptatum voluptatibus.",1994,"PG-13",117,"Drama","ET",2
20,"bouquet pfft abaft","Animi explicabo libero iste inventore aspernatur.",2022,"R18+",144,"Drama|Sci-Fi|Drama","VU",6
21,"because aw or","Assumenda iste non ducimus autem neque veritatis quo aspernatur.",2021,"NC-17",120,"Drama|Comedy|Horror","BE",2
22,"minus save tender","Laboriosam officia nostrum inventore quos officia illo.",2013,"R18+",162,"Comedy|Horror|Comedy","JM",4
23,"information when provided","Nostrum exercitationem esse consequuntur dolor.",2014,"12A",123,"Sci-Fi","IQ",10
24,"assist above adept","Officia maiores quibusdam.",1993,"TV-Y7",101,"Comedy|Comedy|Comedy","JO",10
25,"pfft geez indeed","Aperiam architecto fugiat eligendi maxime voluptate.",2006,"TV-MA",171,"Horror|Comedy|Horror","AI",4
26,"viciously yahoo unless","Tenetur molestiae eligendi quas ullam voluptatibus.",2017,"TV-G",75,"Sci-Fi|Drama|Action","MR",4
27,"however all astride","Praesentium quia maiores quidem non fugiat recusandae enim rem mollitia.",2006,"R18+",110,"Horror","QA",1
28,"happily aching imperturbable","Accusantium iure in aspernatur.",2020,"TV-PG",146,"Horror|Drama|Horror","GR",6
29,"between um finished","Dolorum omnis vero.",1998,"TV-Y7",93,"Drama|Sci-Fi|Drama","KY",9
30,"ick arrest lest","Vitae reiciendis beatae ullam earum.",2015,"U",149,"Comedy","PW",2
31,"eventually rope lest","Nesciunt officiis consectetur suscipit recusandae totam.",2007,"TV-Y7",131,"Action","HT",7
32,"although multicolored chinchilla","Tenetur quaerat dicta atque soluta distinctio.",2009,"S",138,"Drama","KP",1
33,"fluffy forenenst border","Alias eaque provident recusandae nemo.",2016,"R21",122,"Comedy","MM",8
34,"leafy scary drat","Eaque voluptatum facilis excepturi error provident.",2010,"MA15+",164,"Sci-Fi|Drama|Drama","MV",10
35,"failing an yet","Laboriosam reiciendis dolores exercitationem maxime.",2003,"NC-17",125,"Action|Sci-Fi","NU",5
36,"aspire coyote unless","Nemo saepe accusantium quas aliquam repellat dicta neque porro.",2001,"R18",129,"Comedy|Action","AR",6
37,"earmuffs instantly with","Fugit incidunt voluptates sapiente culpa aut cum reprehenderit illum.",1998,"PG",171,"Horror","ZA",9
